Course Number,Folder,Average,Median
336326,201901,90.364,90
336326,202001,90.895,90
336506,202002,90.682,90.5
336506,202102,88.733,90
336517,201502,82.784,85
336517,201602,87,91
336517,201702,84.34,85
336517,201802,81.556,84
336517,201902,90.407,91
336517,202002,81.34,84
336517,202102,85.367,89
336517,202202,87.54,90
336522,201601,90.909,90
336522,201701,84.75,83.5
336522,201802,86.083,88.5
336522,201902,82.952,82
336522,202002,86.194,88
336522,202102,86.707,87
336522,202202,87.163,88
336539,201502,93.613,96
336539,201802,87.68,92
336539,202002,95.929,96
336541,201702,96.878,98
336541,201902,96.676,97
336541,202202,91.784,92
Course Number,Average of Medians,שם הקורס,
336541,95.7,זרימה במערכת הקרדיווסקולרית,
336539,94.7,זרימה במערכת הנשימה,
336506,90.3,ביומכניקה שיקומית,
336326,90,ניתוח נתונים ושיערוך פרמטרים,
336517,87.4,ביו-הנדסה של התא,
336522,86.7,מבוא לבקרה במערכות ביו-רפואיות,
