Course Number,Folder,Average,Median
336021,201801,81.182,84
336021,201901,82.923,85
336021,202001,76.812,81
336021,202101,89.706,90
336021,202102,84.067,87
336520,201502,81.25,86.5
336520,201702,86.892,88
336520,201802,92.97,93
336520,201902,92.724,93
336520,202002,90.016,90
336520,202102,85.703,86
336540,201902,95.545,95
336540,202002,92.1,92.5
336549,201902,96.417,96
336550,202201,96.44,96
034033,201401,76.618,79
034033,201402,63.444,65.5
034033,201501,69.522,70
034033,201502,67.915,69
034033,201601,65.779,68
034033,201602,67.373,72
034033,201701,69.225,72
034033,201702,76.518,77
034033,201801,78.284,81
034033,201802,73.3,76
034033,201901,68.839,70
034033,201902,62.118,65
034033,202001,75.799,76
034033,202101,75.984,78
034033,202102,55.35,62
035001,201701,87.246,89
035001,201801,82.517,81
035001,201901,84.518,86
035001,202001,87.135,87
035001,202002,89.118,92
035001,202101,86.722,86.5
035001,202102,87.639,88
035001,202201,87,89
035199,201902,90.552,93
035199,202102,90.6,89
036049,201801,88.8,87
036049,201901,88.938,90.5
036049,202001,85.333,87
036049,202102,90.056,92
036076,201502,93.062,93.5
036076,202002,93.917,93
084225,201402,72.933,73
084225,201501,76.648,80.5
084225,201601,78.038,81
084225,201701,69.595,72
084225,201801,63.423,66
084225,201901,62.165,64
084225,202001,71.367,72
084225,202101,74.709,78
084225,202201,79.407,83
Course Number,Average of Medians,שם הקורס,
336549,96.0,טכניקות ריצוף DNA,
336550,96.0,ביופיזיקה חישובית,
336540,93.8,תכן מכשור רפואי ממוחשב,
036076,93.3,אלקטרו קינטיקה בננו-ומיקרו-זרימה,
035199,91.0,שימוש המחשב בתורת הזרימה,
336520,89.4,שתלים אורטופדיים ותחליפי רקמה,
036049,89.1,רשתות עצביות לבקרה ודיאגנוסטיקה,
035001,87.3,מבוא לרובוטיקה,
336021,85.4,ננו-חלקיקים בביול' מכניקה וריאולוגיה,
084225,74.4,דינמיקה,
034033,72.0,אנליזה נומרית מ',
336521,,עקרונות הנדסיים קרדיווסקולריים,
