Course Number,Semester,Average,Median
044102,201401,,
044102,201402,,
044102,201501,,
044102,201502,,
044102,201503,,
044102,201601,,
044102,201602,,
044102,201701,,
044102,201702,,
044102,201801,,
044102,201802,,
044102,201901,,
044102,201902,,
044102,202001,,
044102,202002,,
044102,202101,,
044102,202102,,
044102,202201,,
044102,202202,,
044102,202301,,
104016,201401,73.095,76
104016,201402,74.312,77
104016,201501,74.6,77
104016,201502,73.336,78
104016,201601,79.511,83
104016,201602,74.497,79
104016,201701,78.575,82
104016,201702,70.913,75
104016,201801,74.605,77
104016,201802,73.205,76
104016,201901,73.303,77
104016,201902,74.343,77
104016,202001,69.261,71
104016,202002,71.551,77
104016,202101,71.554,74
104016,202102,67.181,71.5
104016,202201,72.775,76
104016,202202,62.616,66.5
104018,201401,69.071,70
104018,201402,58.875,60.5
104018,201501,74.169,79
104018,201502,65.413,66.5
104018,201601,69.964,73
104018,201602,63.883,66
104018,201701,73.146,75
104018,201702,62.172,63.5
104018,201801,70.409,72
104018,201802,56.918,60
104018,201901,68.075,70
104018,201902,71.208,74
104018,202001,67.075,71
104018,202002,56.973,62
104018,202101,65.901,68
104018,202102,56.452,60.5
104018,202202,62.358,67
114071,201401,76.454,78
114071,201402,73.685,76
114071,201501,80.113,82
114071,201502,73.406,75
114071,201503,75.943,74
114071,201601,77.709,80
114071,201602,69.232,68
114071,201603,75.529,78
114071,201701,74.078,74
114071,201702,68.508,68
114071,201703,75,78
114071,201801,68.355,72
114071,201802,70.867,71.5
114071,201803,68.047,71
114071,201901,76.565,76
114071,201902,75.891,78
114071,201903,72.259,75
114071,202001,69.014,75
114071,202002,74.551,77
114071,202003,77.102,79
114071,202101,78.516,82
114071,202102,72.897,72
114071,202103,69.561,71
114071,202201,79.989,81
114071,202202,77.653,80
114071,202203,85.053,86
114071,202301,78.905,80
124120,201401,73.62,74
124120,201501,72.649,73
124120,201503,71.618,74.5
124120,201601,78.69,82
124120,201701,76.787,78
124120,201801,77.439,78
124120,201901,81.421,82
124120,202001,78.397,79
124120,202101,80.308,82
124120,202201,73.929,78
124120,202301,72.213,73
394800,201401,92.701,93
394800,201402,93.275,94
394800,201501,91.925,93
394800,201502,93.084,94
394800,201601,94.073,94
394800,201602,93.057,94
394800,201701,94.236,95
394800,201702,92.814,94
394800,201801,93.886,94
394800,201802,94.266,94
394800,201901,93.659,94
394800,202001,94.516,95
394800,202002,94.681,95
394800,202101,95.332,95
394800,202102,95.82,96
394800,202201,95.231,96
394800,202202,95.477,96
394800,202301,95.92,96
274109,201701,93.718,96
274109,201801,94.151,97
274109,201901,95.598,97
274109,202001,99.575,100
274109,202101,95.019,97
104013,201401,68.856,71
104013,201402,77.706,82
104013,201403,68,69
104013,201501,70.698,74
104013,201502,79.444,84
104013,201601,76.023,81.5
104013,201602,73.516,77
104013,201701,76.931,81
104013,201702,73.847,80
104013,201801,70.565,74
104013,201802,78.912,81
104013,201803,81.636,84
104013,201901,77.048,81
104013,201902,79.882,84
104013,202001,75.048,77
104013,202002,77.431,82
104013,202101,65,68
104013,202102,73.486,78
104013,202201,73.911,76
104013,202202,71.788,83
104013,202301,68.492,71
104135,201401,71.434,78
104135,201402,72.301,78
104135,201502,82.857,86
104135,201602,73.247,77
104135,201701,72.542,77.5
104135,201702,77.697,80
104135,201802,78.729,79
104135,201902,74.991,77
104135,202001,78.222,84
104135,202002,83.114,85
104135,202101,66.273,67.5
104135,202102,86.546,92.5
104135,202201,75.787,78
104135,202202,90.491,94
104135,202301,64.696,71
114052,201401,78.452,79
114052,201402,72.637,73
114052,201403,69.559,70.5
114052,201501,75.356,75
114052,201502,68.727,70
114052,201503,75.566,83.5
114052,201601,74.635,76
114052,201602,70.292,71
114052,201603,72.817,70
114052,201701,68.805,72
114052,201702,72.995,72
114052,201703,70.904,75.5
114052,201801,75.576,79
114052,201802,75.023,78
114052,201803,81.768,85
114052,201901,76.679,78
114052,201902,79.248,82
114052,201903,80.688,84
114052,202001,76.469,79
114052,202002,82.491,86
114052,202003,72.059,72
114052,202101,78.085,79
114052,202102,82.78,86
114052,202103,74.812,76
114052,202201,76.168,79
114052,202202,83.09,86
114052,202203,81.146,86
114052,202301,80.542,86
234128,201901,76.818,78
234128,201902,80.651,84
234128,201903,82.269,87.5
234128,202001,75.127,76
234128,202002,74.533,76
234128,202003,77.667,81
234128,202101,76.444,77
234128,202102,75.654,78
234128,202103,76.884,75
234128,202201,72.155,72
234128,202202,77.831,80
234128,202203,86,86
234128,202301,70.677,71
125802,201602,76.442,79
125802,201702,84.533,86.5
125802,201802,80.5,83
125802,201902,85.494,89
125802,202002,78.657,82.5
125802,202102,73.812,72
125802,202202,83.463,85
274167,201702,78.973,79.5
274167,201802,84.25,85
274167,201902,83.964,85
274167,202002,81.596,82
274167,202102,84.362,85
274167,202201,81.759,84
125801,201402,62.116,66
125801,201502,75.177,78
125801,201602,63.639,69
125801,201702,63.412,72
125801,201802,65.027,70
125801,201902,77.074,79
125801,202002,69.815,73
125801,202102,63.722,66.5
125801,202202,71.162,80
044105,201401,73.93,76
044105,201402,72.964,75
044105,201501,80.575,83
044105,201502,74.907,79
044105,201601,77.977,82
044105,201602,77.836,83
044105,201701,80.91,83
044105,201702,77.25,80
044105,201801,86.946,88
044105,201802,75.847,80
044105,201901,83.438,86
044105,201902,74.586,79
044105,202001,84.354,88
044105,202002,76.689,79
044105,202101,84.278,87
044105,202102,71.946,75
044105,202201,79.835,82
044105,202202,78.395,81
044105,202301,87.932,92
