Course Number,Folder,Average,Median
336325,201602,81.9,87
336325,201802,83.739,87
336325,201902,80.281,85.5
336325,202002,83.086,84
336325,202102,80.111,80
336504,202202,92.222,95
336538,201601,93.412,94
336538,201701,93.102,94
336538,201801,93.897,94
336538,201901,92.941,94
336538,202002,93.042,93
336538,202201,91.583,91.5
336540,201902,95.545,95
336540,202002,92.1,92.5
336544,201602,92.545,91
336544,201702,94,94.5
336544,201902,93.103,94
336544,202102,89.469,90
336544,202202,92.306,94.5
336545,201702,79.708,82
336545,201802,76.421,74
336545,201902,87.5,85
336545,202002,79.75,80
336545,202102,79.135,82
336546,201901,97.923,100
336546,202001,92.822,93
336546,202101,96.237,96
336546,202201,88.871,93
336547,202001,93.529,96
336547,202102,97.154,98
336549,201902,96.417,96
336550,202201,96.44,96
034033,201401,76.618,79
034033,201402,63.444,65.5
034033,201501,69.522,70
034033,201502,67.915,69
034033,201601,65.779,68
034033,201602,67.373,72
034033,201701,69.225,72
034033,201702,76.518,77
034033,201801,78.284,81
034033,201802,73.3,76
034033,201901,68.839,70
034033,201902,62.118,65
034033,202001,75.799,76
034033,202101,75.984,78
034033,202102,55.35,62
044101,201501,76.878,81
044101,201502,76.077,77
044101,201601,78.486,81
044101,201602,79.881,81
044101,201701,81.983,86
044101,201702,79.152,81
044101,201801,81.984,83
044101,201802,79.298,83
044101,201901,80.17,81
044101,201902,81.206,84.5
044101,202001,77.094,79
044101,202002,78.551,80
044101,202101,79.24,82
044101,202102,82.492,84
044101,202201,80.444,84
044101,202202,85.732,88
044198,201401,80.189,83
044198,201501,76.53,80
044198,201502,75.985,78
044198,201601,77.907,80.5
044198,201602,76.136,78
044198,201701,77.5,80
044198,201702,74.577,75
044198,201801,77.486,79
044198,201802,75.858,77
044198,201901,79.575,83.5
044198,201902,74.978,77
044198,202001,76.73,79
044198,202002,75.636,78
044198,202101,77.868,80
044198,202102,75.069,76
044198,202201,77.871,80
044198,202202,83.213,87
044202,201401,73.114,77
044202,201402,74.764,77
044202,201501,78.621,83
044202,201502,80.129,81
044202,201601,78.157,81
044202,201602,75.93,76
044202,201701,77.06,80
044202,201702,73.835,74
044202,201801,82.443,86
044202,201802,75.203,78
044202,201901,78.064,81
044202,201902,70.947,72
044202,202001,71.966,74
044202,202002,74.507,74.5
044202,202101,75.694,77
044202,202102,73.897,75
044202,202201,71.873,73
044202,202202,78.903,80
046195,201401,81.736,81
046195,201501,82.274,83
046195,201601,76.346,79
046195,201602,76.478,75
046195,201701,79.816,79.5
046195,201702,78.802,80
046195,201801,79.536,81
046195,201802,75.629,76
046195,201901,86.678,90
046195,201902,76.657,77
046195,202001,79.146,80
046195,202002,79.949,83
046195,202101,78.752,81
046195,202102,77.518,80
046195,202201,75.215,75
046195,202202,81.8,86
046197,201502,80.182,79
046197,201702,72.158,71
046197,201802,78.44,80
046197,201901,76.588,78
046197,201902,78.704,78
046197,202102,73.389,83
046197,202202,80.65,84.5
