Course Number,Folder,Average,Median
336326,201901,90.364,90
336326,202001,90.895,90
336405,201702,86.2,89.5
336405,201902,85.5,86.5
336520,201502,81.25,86.5
336520,201702,86.892,88
336520,201802,92.97,93
336520,201902,92.724,93
336520,202002,90.016,90
336520,202102,85.703,86
336538,201601,93.412,94
336538,201701,93.102,94
336538,201801,93.897,94
336538,201901,92.941,94
336538,202002,93.042,93
336538,202201,91.583,91.5
336544,201602,92.545,91
336544,201702,94,94.5
336544,201902,93.103,94
336544,202102,89.469,90
336544,202202,92.306,94.5
336549,201902,96.417,96
336550,202201,96.44,96
054413,201702,87.385,89
054413,201802,88.697,90
054413,201902,85.758,87
054413,202002,89.583,89.5
054413,202102,86.804,86.5
134020,201402,74.574,77
134020,201501,76.778,80
134020,201502,72.212,76
134020,201601,77.458,82
134020,201602,75.03,79
134020,201603,82.028,86
134020,201701,79.655,83.5
134020,201702,72.206,73
134020,201703,77.121,77
134020,201801,70.636,74
134020,201802,73.582,75
134020,201803,76.409,78.5
134020,201901,72.199,75
134020,201902,78.123,82
134020,201903,86.836,90
134020,202001,78.642,82
134020,202002,80.512,85
134020,202003,77.111,80
134020,202101,75.94,80
134020,202102,73.103,74
134020,202103,68.475,72.5
134020,202201,77.331,79
134020,202202,70.364,73
134069,202001,89.4,88
134082,201501,78.93,83
134082,201601,81.457,83
134082,201701,80.164,85
134082,201801,81.812,84.5
134082,201901,80.389,83
134082,202001,86.017,89
134082,202101,83.34,86
134082,202201,82.578,84
134119,201502,79.116,83
134119,201602,83.453,86
134119,201702,82.796,86.5
134119,201802,81.067,84
134119,201902,78.511,82
134119,202002,74.189,80
134119,202102,83.556,85.5
134119,202202,83.698,85
134121,201502,85.909,88.5
134121,201602,82.615,86
134121,201702,83.824,87
134121,201802,81.634,83
134121,201902,84.929,89
134121,202002,84.829,87
134121,202102,87.121,90
134121,202202,89.844,92
Course Number,Average of Medians,שם הקורס,
336549,96.0,טכניקות ריצוף DNA,
336550,96.0,ביופיזיקה חישובית,
336538,93.4,עקרונות ביו-הנדסיים לחישת מולקולות,
336544,92.8,מעגלים גנטיים,
336326,90.0,ניתוח נתונים ושיערוך פרמטרים,
336520,89.4,שתלים אורתופדיים ותחליפי רקמה,
054413,88.4,פולימרים וישומיהם בביוטכנולוגיה,
336405,88.0,יסודות הנדסיים בביולוגיה ובביוטכנ',
134069,88.0,ביולוגיה של ההתפתחות,
134121,87.8,מיקרוביולוגיה ווירולוגיה,
134082,84.7,ביולוגיה מולקולרית,
134119,84.0,בקרת הביטוי הגנטי,
276413,81.0,אימונולוגיה בסיסית,
134020,78.8,גנטיקה כללית,
336521,,עקרונות הנדסיים של המערכת הקרדיו,
336548,,מעבדה לתכן מעגלים גנטיים,
