Course Number,Folder,Average,Median
336020,201502,86.812,87.5
336020,201901,90.806,91
336020,202001,93.829,94
336020,202101,92.96,93
336020,202201,89.774,91
336023,201702,88.333,90.5
336023,201902,87.611,87.5
336023,202002,78.923,80
336027,202002,84.583,85.5
336027,202102,84.815,86
336027,202201,85.6,88
336208,201401,80.818,79
336208,201702,82.938,83
336208,201802,83.25,89
336208,201902,79.343,82
336208,202002,81.667,81
336326,201901,90.364,90
336326,202001,90.895,90
336502,201601,84.256,84
336502,201701,85.15,88.5
336502,201801,81.438,84
336502,201901,81.565,83.5
336502,202001,89.165,92
336502,202101,84.582,86
336502,202201,81.525,84
336522,201601,90.909,90
336522,201701,84.75,83.5
336522,201802,86.083,88.5
336522,201902,82.952,82
336522,202002,86.194,88
336522,202102,86.707,87
336522,202202,87.163,88
336533,201501,82.971,84
336533,201602,82.482,84
336533,201701,78.683,81
336533,201801,81,81
336533,201901,78,78
336533,202001,81.296,82
336533,202101,78.455,80.5
336533,202202,78.679,78.5
Course Number,Average of Medians,שם הקורס,
336020,91.3,תופעות ביו-חשמליות,
336326,90,ניתוח נתונים ושיערוך פרמטרים,
336522,86.7,מבוא לבקרה,
336027,86.5,"עת""ר",
336023,86,יישומי אופטיקה ביו-רפואית,
336502,86,עקרונות הדמיה,
336208,82.8,שיטות באנליזה של אותות ביולוגיים,
336533,81,אופטיקה ופוטוניקה,
