Course Number,Folder,Average,Median
336021,201801,81.182,84
336021,201901,82.923,85
336021,202001,76.812,81
336021,202101,89.706,90
336021,202102,84.067,87
336517,201502,82.784,85
336517,201602,87,91
336517,201702,84.34,85
336517,201802,81.556,84
336517,201902,90.407,91
336517,202002,81.34,84
336517,202102,85.367,89
336517,202202,87.54,90
336528,201601,82,84.5
336528,201801,86.926,87
336528,201901,85.744,86
336528,202001,83.578,83
336528,202101,86.023,86
336528,202201,86.659,87
336529,201602,86.238,88
336529,201702,85.143,86
336529,201802,87.632,88
336529,201902,93.293,94
336529,202002,84.977,84
336529,202102,86.932,87.5
336529,202202,86.6,88
Course Number,Average of Medians,שם הקורס,
336402,90.0,תכן ביו-חומרים,
336529,87.9,הנדסת רקמות ותחליפים ביולוגיים,
336517,87.4,ביו-הנדסה של התא,
336528,85.6,שחרור מבוקר של תרופות,
336021,85.4,ננו חלקיקים,
