Course Number,Semester,Average,Median,,
044102,201401,,,,
044102,201402,,,,
044102,201501,,,,
044102,201502,,,,
044102,201503,,,,
044102,201601,,,,
044102,201602,,,,
044102,201701,,,,
044102,201702,,,,
044102,201801,,,,
044102,201802,,,,
044102,201901,,,,
044102,201902,,,,
044102,202001,,,,
044102,202002,,,,
044102,202101,,,,
044102,202102,,,,
044102,202201,,,,
044102,202202,,,,
044102,202301,,,,
104031,201401,64.859,67,,
104031,201402,64.913,67,,
104031,201403,72.72,76,,
104031,201501,73.517,76,,
104031,201502,65.403,69,,
104031,201601,69.021,71,,
104031,201602,68.677,70,,
104031,201603,78.269,86,,
104031,201701,70.858,73,,
104031,201702,68.387,71,,
104031,201703,71.219,80,,
104031,201801,67.259,70,,
104031,201802,63.654,64,,
104031,201803,67.308,72,,
104031,201901,67.224,69,,
104031,201902,66.485,70,,
104031,201903,74.985,76,,
104031,202001,67.916,71,,
104031,202002,59.381,60,,
104031,202003,71.892,70,,
104031,202101,69.425,72,,
104031,202102,65.978,66,,
104031,202103,64.538,67,,
104031,202201,67.467,70,,
104031,202202,56.133,47,,
104031,202203,76.636,81.5,,
104031,202301,69.261,73,,
104016,201401,73.095,76,,
104016,201402,74.312,77,,
104016,201501,74.6,77,,
104016,201502,73.336,78,,
104016,201601,79.511,83,,
104016,201602,74.497,79,,
104016,201701,78.575,82,,
104016,201702,70.913,75,,
104016,201801,74.605,77,,
104016,201802,73.205,76,,
104016,201901,73.303,77,,
104016,201902,74.343,77,,
104016,202001,69.261,71,,
104016,202002,71.551,77,,
104016,202101,71.554,74,,
104016,202102,67.181,71.5,,
104016,202201,72.775,76,,
104016,202202,62.616,66.5,,
114071,201401,76.454,78,,
114071,201402,73.685,76,,
114071,201501,80.113,82,,
114071,201502,73.406,75,,
114071,201503,75.943,74,,
114071,201601,77.709,80,,
114071,201602,69.232,68,,
114071,201603,75.529,78,,
114071,201701,74.078,74,,
114071,201702,68.508,68,,
114071,201703,75,78,,
114071,201801,68.355,72,,
114071,201802,70.867,71.5,,
114071,201803,68.047,71,,
114071,201901,76.565,76,,
114071,201902,75.891,78,,
114071,201903,72.259,75,,
114071,202001,69.014,75,,
114071,202002,74.551,77,,
114071,202003,77.102,79,,
114071,202101,78.516,82,,
114071,202102,72.897,72,,
114071,202103,69.561,71,,
114071,202201,79.989,81,,
114071,202202,77.653,80,,
114071,202203,85.053,86,,
114071,202301,78.905,80,,
234117,201401,77.147,77,,
234117,201402,78.741,84,,
234117,201403,80.316,82,,
234117,201501,75.372,79,,
234117,201502,79.23,80,,
234117,201503,70.625,72.5,,
234117,201601,81.121,83,,
234117,201602,77.884,81,,
234117,201603,77.414,84,,
234117,201701,74.377,77.5,,
234117,201702,75.557,80,,
234117,201703,77.229,80,,
234117,201801,75.363,79,,
234117,201802,75.909,78,,
234117,201803,77.211,83,,
234117,201901,76.604,79,,
234117,201902,74.731,78,,
234117,202001,76.091,79,,
234117,202002,72.176,74,,
234117,202003,77.7,80,,
234117,202101,77.143,80,,
234117,202102,73.992,76.5,,
234117,202103,72.105,77,,
234117,202201,73.637,75,,
234117,202202,74.065,78,,
234117,202203,72.067,74,,
234117,202301,73.047,74,,
324033,201401,81.664,83,,
324033,201402,80.796,82,,
324033,201403,79.375,82,,
324033,201501,82.033,83,,
324033,201502,80.663,82,,
324033,201503,79.609,80.5,,
324033,201601,80.945,82,,
324033,201602,80.972,83,,
324033,201603,81.268,82.5,,
324033,201701,83.254,84,,
324033,201702,81.593,83,,
324033,201703,80.049,80,,
324033,201801,84.212,85,,
324033,201802,82.166,84,,
324033,201803,80.034,79,,
324033,201901,82.924,84,,
324033,201902,85.587,87,,
324033,202001,86.457,88,,
324033,202002,88.282,89,,
324033,202003,85.941,88,,
324033,202101,89.924,91,,
324033,202102,91.713,92,,
324033,202103,91.627,93,,
324033,202201,89.946,92,,
324033,202202,90.896,92,,
324033,202301,92.332,93,,
394901,201903,96,97,,
045001,201401,97.25,97,,
045001,201402,98.032,98,,
045001,201501,97.269,97,,
045001,201502,97.444,98,,
045001,201601,94.605,95,,
045001,201602,95.378,96,,
045001,201701,95.41,95,,
045001,201702,94.684,93,,
045001,201801,94.562,94,,
045001,201802,96.125,97,,
045001,201901,95.615,96,,
045001,202002,96.525,97,,
045001,202102,96.615,97,,
045001,202202,96.158,96,,
045001,202301,97.111,97,,
044252,201702,82.896,84,,
044252,201801,75.618,78,,
044252,201802,77.877,82,,
044252,201803,82.919,81,,
044252,201901,81.703,84,,
044252,201902,79.285,82,,
044252,201903,84.743,85,,
044252,202001,78.274,84,,
044252,202002,81.271,84,,
044252,202003,86.188,87,,
044252,202101,81.011,84,,
044252,202102,74.973,79,,
044252,202103,79.027,83,,
044252,202201,80.499,84,,
044252,202202,83.406,87,,
044252,202301,75.098,80,,
104013,201401,68.856,71,,
104013,201402,77.706,82,,
104013,201403,68,69,,
104013,201501,70.698,74,,
104013,201502,79.444,84,,
104013,201601,76.023,81.5,,
104013,201602,73.516,77,,
104013,201701,76.931,81,,
104013,201702,73.847,80,,
104013,201801,70.565,74,,
104013,201802,78.912,81,,
104013,201803,81.636,84,,
104013,201901,77.048,81,,
104013,201902,79.882,84,,
104013,202001,75.048,77,,
104013,202002,77.431,82,,
104013,202101,65,68,,
104013,202102,73.486,78,,
104013,202201,73.911,76,,
104013,202202,71.788,83,,
104013,202301,68.492,71,,
104035,201402,77.27,83,,
104035,201501,67.378,72,,
104035,201502,74.739,77,,
104035,201601,69.065,74,,
