Course Number,Semester,Average,Median,Points,,,,
104016,201901,73.303,77,5,385,,118,total point no.
104018,201901,68.075,70,5,350,,81.85042373,average of medians for the class of 2019
114071,201901,76.565,76,3.5,266,,,
125001,201901,68.794,70,3,210,,,
134058,201901,81.37,83,3,249,,,
334021,201901,91.607,94,1,94,,,
104013,201902,79.882,84,5.5,462,,,
104135,201902,74.991,77,2.5,192.5,,,
114052,201902,79.248,82,3.5,287,,,
124801,201902,77,77,2.5,192.5,,,
234128,201902,80.651,84,4,336,,,
044105,202001,84.354,88,4,352,,,
104221,202001,75.874,78,4,312,,,
104223,202001,75.568,80,4,320,,,
124503,202001,80.392,81,2.5,202.5,,,
134019,202001,77.792,81,2.5,202.5,,,
274001,202001,79.153,82,2,164,,,
044131,202002,77.904,80,5,400,,,
104034,202002,74.685,79,3.5,276.5,,,
336537,202002,75.057,76,3,228,,,
334221,202002,78.892,79,2.5,197.5,,,
335009,202002,71.211,73,3.5,255.5,,,
334222,202002,76.065,75,4,300,,,
134113,202101,83.735,90,3.5,315,,,
276011,202101,81.679,84,3.5,294,,,
336022,202101,84.253,86,2.5,215,,,
336533,202101,78.455,80.5,2.5,201.25,,,
337403,202101,91.976,95,3,285,,,
334022,,,83.4,4,333.6,,,
335001,202102,91.296,92,2,184,,,
335010,202102,81.955,84,3,252,,,
335016,202102,93.726,95,1.5,142.5,,,
094423,202201,71.344,73,3.5,255.5,,,
334014,202201,92.475,94,3,282,,,
335002,202202,96.357,96.5,2,193,,,
335003,202202,94.609,96,2,192,,,
335015,202202,92.452,93,3,279,,,
Course Number,Average of Medians,,,,,,,
,,,,,,,,
104016,76.11,5,380.55,,,,81.06881356,average of medians - through the years
104018,68.12,5,340.6,,,,,
114071,76.2,3.5,266.7,,,,,
125001,74.68,3,224.04,,,,,
134058,83.82,3,251.46,,,,,
334021,92.35,1,92.35,,,,,
104013,78.02,5.5,429.11,,,,,
104135,80.3,2.5,200.75,,,,,
114052,78.16,3.5,273.56,,,,,
124801,83.17,2.5,207.925,,,,,
234128,78.58,4,314.32,,,,,
044105,82,4,328,,,,,
104221,75.04,4,300.16,,,,,
104223,75.38,4,301.52,,,,,
124503,80.65,2.5,201.625,,,,,
134019,78.16,2.5,195.4,,,,,
274001,81.86,2,163.72,,,,,
044131,81.67,5,408.35,,,,,
104034,76.26,3.5,266.91,,,,,
336537,78.78,3,236.34,,,,,
334221,81.28,2.5,203.2,,,,,
335009,78.33,3.5,274.155,,,,,
334222,80.61,4,322.44,,,,,
134113,81.25,3.5,284.375,,,,,
276011,82.12,3.5,287.42,,,,,
334022,83.4,2.5,208.5,,,,,
336022,83.94,2.5,209.85,,,,,
336533,81.69,3,245.07,,,,,
337403,83.21,4,332.84,,,,,
335001,93.95,2,187.9,,,,,
335010,84.44,3,253.32,,,,,
335016,93.43,1.5,140.145,,,,,
094423,80.53,3.5,281.855,,,,,
334014,95.14,3,285.42,,,,,
335002,95.41,2,190.82,,,,,
335003,95,2,190,,,,,
335015,95.14,3,285.42,,,,,
