Course Number,Semester,Average,Median
00440102,201401,,
00440102,201402,,
00440102,201501,,
00440102,201502,,
00440102,201503,,
00440102,201601,,
00440102,201602,,
00440102,201701,,
00440102,201702,,
00440102,201801,,
00440102,201802,,
00440102,201901,,
00440102,201902,,
00440102,202001,,
00440102,202002,,
00440102,202101,,
00440102,202102,,
00440102,202201,,
00440102,202202,,
00440102,202301,,
00440102,202302,,
00440102,202401,,
00440102,202402,,
01040065,202301,74,75
01040065,202401,69.098,75
01040042,202201,66.078,71
01040042,202301,66.196,69
01040042,202401,57.824,62
01140071,201401,76.454,78
01140071,201402,73.685,76
01140071,201501,80.113,82
01140071,201502,73.406,75
01140071,201503,75.943,74
01140071,201601,77.709,80
01140071,201602,69.232,68
01140071,201603,75.529,78
01140071,201701,74.078,74
01140071,201702,68.508,68
01140071,201703,75,78
01140071,201801,68.355,72
01140071,201802,70.867,71.5
01140071,201803,68.047,71
01140071,201901,76.565,76
01140071,201902,75.891,78
01140071,201903,72.259,75
01140071,202001,69.014,75
01140071,202002,74.551,77
01140071,202003,77.102,79
01140071,202101,78.516,82
01140071,202102,72.897,72
01140071,202103,69.561,71
01140071,202201,79.989,81
01140071,202202,77.699,80
01140071,202203,85.053,86
01140071,202301,79.146,80
01140071,202302,76.733,80
01140071,202401,77.065,79
01250001,201401,75.625,78
01250001,201402,73.383,77
01250001,201501,72.272,73
01250001,201502,73.985,75
01250001,201601,76.995,79
01250001,201602,68.504,70
01250001,201701,73.129,75
01250001,201702,70.044,73
01250001,201801,70.362,71
01250001,201802,68.345,70
01250001,201901,68.794,70
01250001,201902,73.385,77
01250001,202001,69.744,72
01250001,202002,76.054,79
01250001,202101,72.107,74
01250001,202102,75.797,79
01250001,202201,69.782,74
01250001,202202,71.186,78
01250001,202301,74.506,77
01250001,202302,71.168,75
01250001,202401,71.732,74
01340058,201401,76.6,80
01340058,201402,82.132,84
01340058,201403,81.67,84
01340058,201501,83.797,86
01340058,201502,88.724,92
01340058,201503,78.861,80
01340058,201601,87.185,89
01340058,201602,76.218,79
01340058,201603,81.638,85
01340058,201701,85.496,89
01340058,201702,73,76.5
01340058,201703,78.653,80.5
01340058,201801,79.868,83
01340058,201802,76.565,80
01340058,201803,82.306,83
01340058,201901,81.37,83
01340058,201902,89.781,95
01340058,201903,86.018,88
01340058,202001,84.951,87
01340058,202002,77.71,80
01340058,202003,80.4,86
01340058,202101,83.058,85
01340058,202102,75.204,77
01340058,202103,78.06,80
01340058,202201,81.743,85
01340058,202202,76.928,80
01340058,202203,84.724,87
01340058,202301,81.243,84
01340058,202302,81.63,81.5
01340058,202401,80.19,84
03340021,201401,90.646,91
03340021,201501,91.867,94
03340021,201601,92.986,94
03340021,201701,93.683,94
03340021,201801,91.692,91
03340021,201901,91.607,94
03340021,202001,89.617,91
03340021,202101,91.551,94
03340021,202201,88.512,88
03340021,202301,91.452,94
01040018,201401,69.071,70
01040018,201402,58.875,60.5
01040018,201501,74.169,79
01040018,201502,65.413,66.5
01040018,201601,69.964,73
01040018,201602,63.883,66
01040018,201701,73.146,75
01040018,201702,62.172,63.5
01040018,201801,70.409,72
01040018,201802,56.918,60
01040018,201901,68.075,70
01040018,201902,71.208,74
01040018,202001,67.075,71
01040018,202002,56.973,62
01040018,202101,65.901,68
01040018,202102,56.452,60.5
01040018,202202,62.051,67
01040018,202302,61.504,68
01040016,201401,73.095,76
01040016,201402,74.312,77
01040016,201501,74.6,77
01040016,201502,73.336,78
01040016,201601,79.511,83
01040016,201602,74.497,79
01040016,201701,78.575,82
01040016,201702,70.913,75
01040016,201801,74.605,77
01040016,201802,73.205,76
01040016,201901,73.303,77
01040016,201902,74.343,77
01040016,202001,69.261,71
01040016,202002,71.551,77
01040016,202101,71.554,74
01040016,202102,67.181,71.5
01040016,202201,72.775,76
01040016,202202,62.609,69.5
01040016,202302,67.426,70
01040013,201401,68.856,71
01040013,201402,77.706,82
01040013,201403,68,69
01040013,201501,70.698,74
01040013,201502,79.444,84
01040013,201601,76.023,81.5
01040013,201602,73.516,77
01040013,201701,76.931,81
01040013,201702,73.847,80
01040013,201801,70.565,74
01040013,201802,78.912,81
01040013,201803,81.636,84
01040013,201901,77.048,81
01040013,201902,79.882,84
01040013,202001,75.048,77
01040013,202002,77.431,82
01040013,202101,65,68
01040013,202102,73.486,78
01040013,202201,73.911,76
01040013,202202,71.833,83
01040013,202301,68.377,72
01040013,202302,67.9,75
01040013,202401,65.573,69
01040038,202201,89.917,92
01040038,202202,79.62,83.5
01040038,202301,75.524,81
01040038,202302,74.711,79
01040038,202401,67.741,68
01040136,202202,73.925,83
01040136,202301,68.13,69
01040136,202302,70.975,77
01040136,202401,62.925,63
01140052,201401,78.452,79
01140052,201402,72.637,73
01140052,201403,69.559,70.5
01140052,201501,75.356,75
01140052,201502,68.727,70
01140052,201503,75.566,83.5
01140052,201601,74.635,76
01140052,201602,70.292,71
01140052,201603,72.817,70
01140052,201701,68.805,72
01140052,201702,72.995,72
01140052,201703,70.904,75.5
01140052,201801,75.576,79
01140052,201802,75.023,78
01140052,201803,81.768,85
01140052,201901,76.679,78
01140052,201902,79.248,82
01140052,201903,80.688,84
01140052,202001,76.469,79
01140052,202002,82.491,86
01140052,202003,72.059,72
01140052,202101,78.085,79
01140052,202102,82.78,86
01140052,202103,74.812,76
01140052,202201,76.168,79
01140052,202202,83.23,86
01140052,202203,81.638,86
01140052,202301,79.007,80
01140052,202302,77.029,80
01140052,202401,75.308,79
01240801,201402,74.952,78.5
01240801,201502,90.902,95.5
01240801,201602,70.303,73.5
01240801,201702,81.323,83
01240801,201802,80.328,84
01240801,201902,77,77
01240801,202002,81.117,85
01240801,202102,85.6,88
01240801,202202,82.219,84
01240801,202302,77.23,81
02340128,201901,76.818,78
02340128,201902,80.651,84
02340128,201903,82.269,87.5
02340128,202001,75.127,76
02340128,202002,74.533,76
02340128,202003,77.667,81
02340128,202101,76.444,77
02340128,202102,75.654,78
02340128,202103,77.143,79
02340128,202201,72.124,72
02340128,202202,77.888,80
02340128,202203,86,86
02340128,202301,74.607,75
02340128,202302,75.642,77
02340128,202401,74.901,75
00440105,201401,73.93,76
00440105,201402,72.964,75
00440105,201501,80.575,83
00440105,201502,74.907,79
00440105,201601,77.977,82
00440105,201602,77.836,83
00440105,201701,80.91,83
00440105,201702,77.25,80
00440105,201801,86.946,88
00440105,201802,75.847,80
00440105,201901,83.438,86
00440105,201902,74.586,79
00440105,202001,84.354,88
00440105,202002,76.689,79
00440105,202101,84.278,87
00440105,202102,71.946,75
00440105,202201,79.835,82
00440105,202202,78.395,81
00440105,202301,88.795,92
00440105,202302,76.556,81.5
00440105,202401,79.504,84
01040214,202301,82.86,86
01040214,202302,81.603,85
01040214,202401,79.086,80
01040215,201401,74.092,76
01040215,201402,61.231,62.5
01040215,201501,77.664,80.5
01040215,201601,69.152,72
01040215,201603,70.8,76
01040215,201701,66.624,70
01040215,201703,76.8,78.5
01040215,201801,80.064,85
01040215,201901,81.33,87
01040215,202001,75.425,76.5
01040215,202101,69.698,71
01040215,202201,71.266,71
01040215,202301,69.362,69
01040215,202302,63.593,67.5
01040215,202401,71.589,73
01040220,202301,84.313,87
01040220,202302,74.395,78
01040220,202401,82.286,88
01240503,201401,80.752,81
01240503,201501,84.418,88
01240503,201601,80.239,80.5
01240503,201701,72.893,74
01240503,201801,75.175,76
01240503,201901,78.025,80
01240503,202001,80.392,81
01240503,202101,84.948,87
01240503,202201,76.203,76
01240503,202301,81.879,83
01240503,202401,71.64,75
01340019,201401,75.626,76
01340019,201402,72.95,76
01340019,201501,75.921,77
01340019,201502,71.314,74
01340019,201601,74.148,78
01340019,201602,70.042,72.5
01340019,201701,74.185,75
01340019,201702,68.576,73
01340019,201801,79.794,81
01340019,201802,65.968,72
01340019,201901,78.119,81.5
01340019,201902,72.759,78
01340019,202001,77.792,81
01340019,202002,78.662,82
01340019,202101,81.254,84
01340019,202102,80.271,83
01340019,202201,75.055,78
01340019,202202,79.939,84
01340019,202301,77.98,78
01340019,202302,77.856,79
01340019,202401,73.242,74
03340274,202101,81.872,82
03340274,202201,81.116,82
03340274,202301,80.386,80
03340274,202401,90.83,92
03240033,201401,81.664,83
03240033,201402,80.796,82
03240033,201403,79.375,82
03240033,201501,82.033,83
03240033,201502,80.663,82
03240033,201503,79.609,80.5
03240033,201601,80.945,82
03240033,201602,80.972,83
03240033,201603,81.268,82.5
03240033,201701,83.254,84
03240033,201702,81.593,83
03240033,201703,80.049,80
03240033,201801,84.212,85
03240033,201802,82.166,84
03240033,201803,80.034,79
03240033,201901,82.924,84
03240033,201902,85.587,87
03240033,202001,86.457,88
03240033,202002,88.282,89
03240033,202003,85.941,88
03240033,202101,89.924,91
03240033,202102,91.713,92
03240033,202103,91.627,93
03240033,202201,89.946,92
03240033,202202,90.896,92
03240033,202203,91.744,93
03240033,202301,92.375,94
03240033,202302,93.405,95
03240033,202401,92.704,94
00440131,201801,76.373,78
00440131,201802,78.782,80
00440131,201803,71,76
00440131,201901,78.959,80
00440131,201902,82.097,84
00440131,202001,76.792,80
00440131,202002,77.904,80
00440131,202101,77.675,80
00440131,202102,85.24,87
00440131,202201,83.741,86
00440131,202202,86.211,88
00440131,202301,82.472,84
00440131,202302,82.669,86
00440131,202401,80.378,82
01040034,201401,68.661,69
01040034,201402,66.88,69
01040034,201501,72.024,73.5
01040034,201502,75.691,79
01040034,201503,66.905,73
01040034,201601,75.181,78
01040034,201602,71.043,72
01040034,201603,70.564,72
01040034,201701,68.357,71
01040034,201702,73.535,74
01040034,201703,76.632,80.5
01040034,201801,71.043,73.5
01040034,201802,71.538,74
01040034,201803,73.491,75
01040034,201901,77.055,83
01040034,201902,80.926,84
01040034,201903,77.56,82
01040034,202001,75.17,79
01040034,202002,74.685,79
01040034,202003,81.564,84
01040034,202101,72.702,77
01040034,202102,76.371,78
01040034,202103,73.69,73
01040034,202201,70.024,71
01040034,202202,74.242,82.5
01040034,202203,77.185,80
01040034,202301,76.422,78
01040034,202302,71.397,73
01040034,202401,71.102,72.5
03340221,201402,79.566,80
03340221,201502,78.833,82.5
03340221,201602,78.175,80
03340221,201702,80.571,80
03340221,201802,76.188,77
03340221,201902,80.397,82
03340221,202002,78.892,79
03340221,202102,78.746,81
03340221,202202,87.735,90
03340221,202302,81.828,84
03340222,201402,80.596,79
03340222,201502,79.63,82.5
03340222,201602,84.214,84
03340222,201702,78.353,80
03340222,201802,78.939,80
03340222,201902,81.217,83
03340222,202002,76.065,75
03340222,202102,73.392,76
03340222,202202,85.263,86.5
03340222,202302,75.27,73
03360537,201402,79.55,81.5
03360537,201502,78.639,79
03360537,201602,78.25,80
03360537,201702,76.791,82
03360537,201802,76.443,76.5
03360537,201902,77.378,77
03360537,202002,75.057,76
03360537,202102,76.857,77
03360537,202202,79.852,80.5
03360537,202302,80.802,81.5
01340113,201501,75.491,78
01340113,201601,75.71,78
01340113,201701,77.271,78
01340113,201801,76.758,79
01340113,201901,77.35,82
01340113,202001,81.181,83
01340113,202101,83.735,90
01340113,202201,79.935,82
01340113,202301,85.457,88
01340113,202401,79.946,83
03340009,202201,88.007,93
03340009,202301,87.882,92
03340011,202001,79.207,78.5
03340011,202101,80.088,80.5
03340011,202102,79.059,85
03340011,202201,85.457,88
03340011,202202,84.378,86
03340011,202301,77.524,79.5
03340011,202302,75.879,75
03350010,201502,86.163,85
03350010,201602,83.822,86
03350010,201702,82.854,85
03350010,201802,81.065,82.5
03350010,201902,84.047,86
03350010,202002,82.787,84
03350010,202102,81.955,84
03350010,202201,81.982,83
03350010,202301,82.563,84
03360022,201501,81.552,84
03360022,201601,85.118,88.5
03360022,201701,77.279,78
03360022,201801,80.077,83
03360022,201901,77.947,78
03360022,202001,84.282,87
03360022,202101,84.253,86
03360022,202201,84.7,87
03360022,202301,79.804,81
03340023,202102,84.76,87
03340023,202202,86.457,90
03340023,202302,83.723,85.5
03350001,201502,94.556,96
03350001,201602,94.125,94
03350001,201702,92.757,94
03350001,201802,93.452,94
03350001,201803,94.286,95
03350001,201902,94.592,95
03350001,202002,92.314,93
03350001,202101,92.444,93.5
03350001,202102,91.296,92
03350001,202201,90.682,90
03350001,202202,92.811,93
03350001,202301,94.562,95
03350001,202302,95.268,95
03340014,201601,96.838,98
03340014,201701,95.521,96
03340014,201801,93.875,94
03340014,201901,94.641,95
03340014,202001,95.562,95
03340014,202101,94.148,94
03340014,202201,92.475,94
03340014,202301,95.673,96
03350002,201703,94.71,96
03350002,201803,96.857,97
03350002,201901,95.375,95
03350002,201903,96.556,96
03350002,202001,96.435,96
03350002,202003,96.115,96
03350002,202101,93.462,94
03350002,202103,93.233,94
03350002,202201,94.905,94
03350002,202202,96.357,96.5
03350002,202203,93.344,94
03350002,202301,93.958,94.5
03350002,202302,93.222,94
03350002,202401,95.02,95
03360026,202301,,
03350015,201602,96.744,97
03350015,201702,97.366,97
03350015,201802,94.923,95
03350015,201902,95.018,96
03350015,202002,95.652,96
03350015,202102,92.328,92
03350015,202202,93.129,93
03350015,202302,95.667,96
03350003,202001,95.062,95
03350003,202101,94.72,95
03350003,202102,94.52,95
03350003,202103,94.2,95
03350003,202201,93.381,94
03350003,202202,94.609,96
03350003,202203,95.167,95
03350003,202302,95.382,96
Course Number,Average of Medians
00440102,
01040065,75.0
01040042,67.33
01140071,76.43
01250001,74.76
01340058,83.78
03340021,92.5
01040018,68.11
01040016,75.95
01040013,77.54
01040038,80.7
01040136,73.0
01140052,78.05
01240801,82.95
02340128,78.77
00440105,82.07
01040214,83.67
01040215,74.37
01040220,84.33
01240503,80.14
01340019,77.95
03340274,84.0
03240033,86.45
00440131,82.21
01040034,76.19
03340221,81.55
03340222,79.9
03360537,79.1
01340113,82.1
03340009,92.5
03340011,81.79
03350010,84.39
03360022,83.61
03340023,87.5
03350001,93.81
03340014,95.25
03350002,95.14
03360026,
03350015,95.25
03350003,95.12
