Course Number,Folder,Exam,Max Grade
104016,201202,Exam_A,100
104016,202202,Exam_A,100
104016,202202,Exam_B,100
104016,201801,Exam_A,100
104016,201801,Exam_B,100
104016,202102,Exam_A,100
104016,202102,Exam_B,94
104016,201701,Exam_A,100
104016,201701,Exam_B,100
104016,201401,Exam_A,100
104016,201501,Exam_A,100
104016,201501,Exam_B,100
104016,201901,Exam_A,100
104016,201901,Exam_B,100
104016,201502,Exam_A,99
104016,201502,Exam_B,100
104016,201601,Exam_B,100.1
104016,202101,Exam_A,100
104016,202101,Exam_B,100
104016,202201,Exam_A,100
104016,202201,Exam_B,100
104016,201301,Exam_A,100
104016,202001,Exam_A,100
104016,202001,Exam_B,100
104016,201602,Exam_A,100
104016,201602,Exam_B,97
104016,201402,Exam_A,100
104016,201402,Exam_B,94
104016,202002,Exam_A,99
104016,202002,Exam_B,97
104016,201702,Exam_A,100
104016,201702,Exam_B,95
104016,201102,Exam_A,100
104016,201902,Exam_A,100
104016,201902,Exam_B,98
104016,201802,Exam_A,100
104016,201802,Exam_B,100
104016,201201,Exam_A,99
104018,201601,Exam_A,98
104018,201601,Exam_B,96
104018,201502,Exam_A,98
104018,201502,Exam_B,98
104018,202202,Exam_A,100
104018,202202,Exam_B,87
104018,202002,Exam_A,74
104018,202002,Exam_B,71
104018,201702,Exam_A,99
104018,201702,Exam_B,83
104018,201801,Exam_A,97
104018,201801,Exam_B,98
104018,202101,Exam_A,96
104018,202101,Exam_B,100
104018,201302,Exam_A,82
104018,201902,Exam_A,91
104018,201902,Exam_B,92
104018,202102,Exam_A,87
104018,202102,Exam_B,72
104018,201701,Exam_A,100
104018,201701,Exam_B,98
104018,201501,Exam_A,100
104018,201501,Exam_B,100
104018,202001,Exam_A,100
104018,202001,Exam_B,95
104018,201901,Exam_A,100
104018,201901,Exam_B,92
104018,201602,Exam_A,94
114071,201601,Exam_A,100
114071,201601,Exam_B,100
114071,202202,Exam_A,100
114071,202202,Exam_B,100
114071,202002,Exam_A,100
114071,202002,Exam_B,100
114071,202101,Exam_A,100
114071,202101,Exam_B,100
114071,202201,Exam_A,100
114071,202201,Exam_B,100
114071,202301,Exam_A,100
114071,202301,Exam_B,100
114071,201102,Exam_A,100
114071,201802,Exam_A,100
114071,201802,Exam_B,100
114071,202102,Exam_A,100
114071,202102,Exam_B,100
114071,201701,Exam_A,100
114071,201701,Exam_B,100
114071,202203,Exam_A,100
114071,202203,Exam_B,92
114071,201602,Exam_A,100
114071,202103,Exam_A,100
114071,202103,Exam_B,75
114071,201201,Exam_A,104
125001,202202,Exam_A,100
125001,202202,Exam_B,100
125001,201801,Exam_A,100
125001,201801,Exam_B,98.5
125001,202102,Exam_A,100
125001,202102,Exam_B,95
125001,201701,Exam_A,100
125001,201701,Exam_B,100
125001,201401,Exam_A,100
125001,201501,Exam_A,100
125001,201501,Exam_B,95
125001,201901,Exam_A,100
125001,201901,Exam_B,100
125001,201601,Exam_A,100
125001,201601,Exam_B,100
125001,202101,Exam_A,100
125001,202101,Exam_B,95
125001,202201,Exam_A,100
125001,202201,Exam_B,100
125001,201302,Exam_A,95
125001,201301,Exam_A,100
125001,202001,Exam_A,100
125001,202001,Exam_B,95
125001,201602,Exam_A,100
125001,201602,Exam_B,100
125001,201402,Exam_A,100
125001,201402,Exam_B,100
125001,202002,Exam_A,100
125001,202002,Exam_B,95
125001,201702,Exam_A,95
125001,201702,Exam_B,97
125001,202301,Exam_A,100
125001,201902,Exam_A,100
125001,201902,Exam_B,100
125001,201802,Exam_A,100
125001,201802,Exam_B,100
134058,201503,Exam_A,100
134058,201601,Exam_A,100
134058,201601,Exam_B,100
134058,202002,Exam_B,99
134058,201702,Exam_A,99
134058,201702,Exam_B,92
134058,201801,Exam_A,100
134058,201801,Exam_B,97
134058,202301,Exam_A,100
134058,201903,Exam_A,100
134058,201903,Exam_B,99
134058,201803,Exam_A,100
134058,201803,Exam_B,96
134058,201701,Exam_A,100
134058,201701,Exam_B,96.667
134058,201703,Exam_A,100
134058,201703,Exam_B,96
134058,202203,Exam_A,96
134058,202203,Exam_B,100
134058,201901,Exam_A,100
134058,201901,Exam_B,100
134058,202003,Exam_A,99
134058,202003,Exam_B,99
104013,202202,Exam_A,100
104013,202202,Exam_B,100
104013,201801,Exam_A,100
104013,201801,Exam_B,88
104013,202102,Exam_A,97
104013,202102,Exam_B,94
104013,201701,Exam_A,100
104013,201701,Exam_B,100
104013,201501,Exam_A,97
104013,201501,Exam_B,92
104013,201901,Exam_A,92
104013,201601,Exam_A,100
104013,201601,Exam_B,97
104013,201502,Exam_A,100
104013,201203,Exam_A,88
104013,202101,Exam_A,95
104013,202101,Exam_B,101
104013,202201,Exam_A,100
104013,202201,Exam_B,100
104013,202001,Exam_A,100
104013,202001,Exam_B,95
104013,201602,Exam_A,100
104013,201602,Exam_B,100
104013,202002,Exam_A,100
104013,202002,Exam_B,100
104013,201702,Exam_A,100
104013,201702,Exam_B,100
104013,202301,Exam_A,97
104013,201102,Exam_A,100
104013,201902,Exam_A,100
104013,201902,Exam_B,98
104013,201802,Exam_A,100
104013,201802,Exam_B,98
104135,201502,Exam_A,99
104135,201502,Exam_B,97
104135,202202,Exam_A,99
104135,202202,Exam_B,98
104135,202002,Exam_A,100
104135,202002,Exam_B,98
104135,201702,Exam_A,99
104135,201702,Exam_B,97
104135,202101,Exam_A,96
104135,202101,Exam_B,79
104135,202201,Exam_A,94
104135,202201,Exam_B,100
104135,202301,Exam_A,95
104135,202301,Exam_B,100
104135,201102,Exam_A,100
104135,201602,Exam_A,104
104135,201602,Exam_B,97
104135,201902,Exam_A,99
104135,201802,Exam_A,104
104135,201802,Exam_B,100
104135,201301,Exam_A,100
104135,202102,Exam_A,100
104135,202102,Exam_B,98
104135,201401,Exam_A,100
104135,201701,Exam_A,100
104135,202001,Exam_A,100
104135,202001,Exam_B,98
104135,201402,Exam_A,98
104135,201201,Exam_A,98
114052,201503,Exam_B,100
114052,201502,Exam_A,100
114052,201601,Exam_A,100
114052,201601,Exam_B,94
114052,202202,Exam_A,100
114052,202202,Exam_B,100
114052,201203,Exam_A,100
114052,202101,Exam_A,100
114052,202101,Exam_B,100
114052,202201,Exam_A,100
114052,202201,Exam_B,100
114052,202301,Exam_A,100
114052,202301,Exam_B,100
114052,202102,Exam_A,100
114052,202102,Exam_B,100
114052,202203,Exam_A,100
114052,202203,Exam_B,100
114052,202001,Exam_A,100
114052,202001,Exam_B,100
114052,201901,Exam_A,100
114052,201901,Exam_B,100
124801,201202,Exam_A,90
124801,202102,Exam_A,100
124801,202102,Exam_B,98
124801,202202,Exam_A,100
124801,202202,Exam_B,99
124801,201102,Exam_A,93
044105,201202,Exam_A,100
044105,202202,Exam_A,100
044105,202202,Exam_B,99
044105,201801,Exam_A,100
044105,201801,Exam_B,100
044105,202102,Exam_A,89
044105,202102,Exam_B,100
044105,201701,Exam_A,100
044105,201701,Exam_B,100
044105,201401,Exam_A,95
044105,201501,Exam_A,100
044105,201501,Exam_B,95
044105,201901,Exam_A,100
044105,201901,Exam_B,100
