Course Number,Semester,max grade,only below 100,both below 100 and after 2020,שם הקורס
104016,201102,100,FALSE,FALSE,
104016,201201,99,99,FALSE,
104016,201202,100,FALSE,FALSE,
104016,201301,100,FALSE,FALSE,
104016,201401,100,FALSE,FALSE,
104016,201402,94,94,FALSE,
104016,201501,100,FALSE,FALSE,
104016,201502,99,99,FALSE,
104016,201601,100.1,FALSE,FALSE,
104016,201602,97,97,FALSE,
104016,201701,100,FALSE,FALSE,
104016,201702,95,95,FALSE,
104016,201801,100,FALSE,FALSE,
104016,201802,100,FALSE,FALSE,
104016,201901,100,FALSE,FALSE,
104016,201902,98,98,FALSE,
104016,202001,100,FALSE,FALSE,
104016,202002,99,99,FALSE,
104016,202101,100,FALSE,FALSE,
104016,202102,94,94,94,אלגברה 1מ
104016,202201,100,FALSE,FALSE,
104016,202202,100,FALSE,FALSE,
104018,201302,82,82,FALSE,
104018,201501,100,FALSE,FALSE,
104018,201502,98,98,FALSE,
104018,201601,98,98,FALSE,
104018,201602,94,94,FALSE,
104018,201701,98,98,FALSE,
104018,201702,99,99,FALSE,
104018,201801,98,98,FALSE,
104018,201901,92,92,FALSE,
104018,201902,92,92,FALSE,
104018,202001,95,95,FALSE,
104018,202002,74,74,FALSE,
104018,202101,96,96,FALSE,
104018,202102,87,87,87,חדוא 1מ
104018,202202,87,87,87,חדוא 1מ
114071,201102,100,FALSE,FALSE,
114071,201201,104,FALSE,FALSE,
114071,201601,100,FALSE,FALSE,
114071,201602,100,FALSE,FALSE,
114071,201701,100,FALSE,FALSE,
114071,201802,100,FALSE,FALSE,
114071,202002,100,FALSE,FALSE,
114071,202101,100,FALSE,FALSE,
114071,202102,100,FALSE,FALSE,
114071,202103,75,75,75,פיזיקה 1מ
114071,202201,100,FALSE,FALSE,
114071,202202,100,FALSE,FALSE,
114071,202203,92,92,92,פיזיקה 1מ
114071,202301,100,FALSE,FALSE,
125001,201301,100,FALSE,FALSE,
125001,201302,95,95,FALSE,
125001,201401,100,FALSE,FALSE,
125001,201402,100,FALSE,FALSE,
125001,201501,95,95,FALSE,
125001,201601,100,FALSE,FALSE,
125001,201602,100,FALSE,FALSE,
125001,201701,100,FALSE,FALSE,
125001,201702,97,97,FALSE,
125001,201801,98.5,98.5,FALSE,
125001,201802,100,FALSE,FALSE,
125001,201901,100,FALSE,FALSE,
125001,201902,100,FALSE,FALSE,
125001,202001,95,95,FALSE,
125001,202002,95,95,FALSE,
125001,202101,95,95,FALSE,
125001,202102,95,95,95,כימיה כללית
125001,202201,100,FALSE,FALSE,
125001,202202,100,FALSE,FALSE,
125001,202301,100,FALSE,FALSE,
134058,201503,100,FALSE,FALSE,
